sample_id,category,source_split,selected_ai_stage,ai_final_compiled,reference_pages,ai_pages,page_count_match,pandoc_compile,tylax_compile,typetex_compile,source_comparison_pdf,source_pdf_page,report_page
06_tables_moderate_034,06_tables_moderate,heldout,v1,True,3,2,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,86,103
06_tables_moderate_035,06_tables_moderate,heldout,v1,True,2,3,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,87,104
07_figures_captions_001,07_figures_captions,prompt_dev,v0,True,1,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,26,106
07_figures_captions_002,07_figures_captions,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,89,107
07_figures_captions_003,07_figures_captions,prompt_dev,v0,True,1,1,,ok,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,28,108
07_figures_captions_004,07_figures_captions,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,90,109
07_figures_captions_005,07_figures_captions,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,91,110
07_figures_captions_006,07_figures_captions,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,92,111
07_figures_captions_007,07_figures_captions,prompt_dev,v0,True,1,1,,ok,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,27,112
07_figures_captions_008,07_figures_captions,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,93,113
07_figures_captions_009,07_figures_captions,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,94,114
07_figures_captions_010,07_figures_captions,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,95,115
07_figures_captions_011,07_figures_captions,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,96,116
07_figures_captions_012,07_figures_captions,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,97,117
07_figures_captions_013,07_figures_captions,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,98,118
07_figures_captions_014,07_figures_captions,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,99,119
07_figures_captions_015,07_figures_captions,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,100,120
08_crossrefs_citations_001,08_crossrefs_citations,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,102,122
08_crossrefs_citations_002,08_crossrefs_citations,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,103,123
08_crossrefs_citations_003,08_crossrefs_citations,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,104,124
08_crossrefs_citations_004,08_crossrefs_citations,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,105,125
08_crossrefs_citations_005,08_crossrefs_citations,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,106,126
08_crossrefs_citations_006,08_crossrefs_citations,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,107,127
08_crossrefs_citations_007,08_crossrefs_citations,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,108,128
08_crossrefs_citations_008,08_crossrefs_citations,prompt_dev,v1_targeted_retry,True,1,1,,ok,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,32,129
08_crossrefs_citations_009,08_crossrefs_citations,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,109,130
08_crossrefs_citations_010,08_crossrefs_citations,heldout,v3,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,110,131
08_crossrefs_citations_011,08_crossrefs_citations,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,111,132
08_crossrefs_citations_012,08_crossrefs_citations,prompt_dev,v0,True,1,1,,ok,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,30,133
08_crossrefs_citations_013,08_crossrefs_citations,prompt_dev,v0,True,1,1,,ok,failed,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,31,134
08_crossrefs_citations_014,08_crossrefs_citations,heldout,v2,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,112,135
08_crossrefs_citations_015,08_crossrefs_citations,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,113,136
09_algorithms_001,09_algorithms,heldout,v3,True,2,2,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,115,138
09_algorithms_003,09_algorithms,prompt_dev,v1_targeted_retry,True,2,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,36,139
09_algorithms_004,09_algorithms,heldout,v1,True,2,1,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,116,140
09_algorithms_005,09_algorithms,prompt_dev,v3_rescue,True,1,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,35,141
